date,0000_0030,0030_0100,0100_0130,0130_0200,0200_0230,0230_0300,0300_0330,0330_0400,0400_0430,0430_0500,0500_0530,0530_0600,0600_0630,0630_0700,0700_0730,0730_0800,0800_0830,0830_0900,0900_0930,0930_1000,1000_1030,1030_1100,1100_1130,1130_1200,1200_1230,1230_1300,1300_1330,1330_1400,1400_1430,1430_1500,1500_1530,1530_1600,1600_1630,1630_1700,1700_1730,1730_1800,1800_1830,1830_1900,1900_1930,1930_2000,2000_2030,2030_2100,2100_2130,2130_2200,2200_2230,2230_2300,2300_2330,2330_2400
03/08/2021,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
04/08/2021,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
05/08/2021,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
06/08/2021,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.35,0.25,0.10,0.15,0.10,0.30,0.35,0.20,0.15,0.15,0.10,0.05,0.10,0.10,0.05,0.10,0.10,0.05,0.10,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
07/08/2021,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.10,0.05,0.10,0.05,0.10,0.05,0.10,0.05,0.10,0.05,0.10,0.05,0.05,0.10,0.05,0.10,0.05,0.10,0.05,0.10,0.05,0.10,0.05,0.10,0.05,0.10,0.05,0.10,0.05,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
08/08/2021,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.05,0.10,0.05,0.10,0.05,0.10,0.05,0.10,0.05,0.10,0.05,0.10,0.05,0.10,0.10,0.10,0.05,0.10,0.10,0.05,0.10,0.05,0.05,0.10,0.05,0.10,0.05,0.10,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
09/08/2021,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.05,0.10,0.05,0.10,0.10,0.05,0.10,0.05,0.10,0.10,0.10,0.20,0.15,0.10,0.10,0.10,0.10,0.20,0.25,0.05,0.15,0.10,0.05,0.10,0.05,0.10,0.05,0.10,0.15,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10/08/2021,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.10,0.05,0.10,0.10,0.10,0.15,0.10,0.20,0.15,0.05,0.10,0.05,0.10,0.05,0.10,0.10,0.30,0.05,0.10,0.10,0.05,0.10,0.05,0.10,0.05,0.10,0.05,0.10,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11/08/2021,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.05,0.10,0.10,0.10,0.15,0.05,0.10,0.20,0.05,0.10,0.05,0.10,0.10,0.10,0.05,0.20,0.15,0.05,0.10,0.05,0.10,0.05,0.10,0.10,0.05,0.10,0.05,0.10,0.05,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12/08/2021,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.10,0.05,0.10,0.05,0.10,0.15,0.10,0.10,0.05,0.15,0.10,0.10,0.10,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
