date,0000_0030,0030_0100,0100_0130,0130_0200,0200_0230,0230_0300,0300_0330,0330_0400,0400_0430,0430_0500,0500_0530,0530_0600,0600_0630,0630_0700,0700_0730,0730_0800,0800_0830,0830_0900,0900_0930,0930_1000,1000_1030,1030_1100,1100_1130,1130_1200,1200_1230,1230_1300,1300_1330,1330_1400,1400_1430,1430_1500,1500_1530,1530_1600,1600_1630,1630_1700,1700_1730,1730_1800,1800_1830,1830_1900,1900_1930,1930_2000,2000_2030,2030_2100,2100_2130,2130_2200,2200_2230,2230_2300,2300_2330,2330_2400
03/08/2021,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.10,0.05,0.15,0.10,0.10,0.10,0.10,0.10
04/08/2021,0.10,0.10,0.10,0.10,0.15,0.10,0.10,0.10,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.10,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.00,0.10,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.00,0.05,0.05,0.05,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
05/08/2021,0.10,0.10,0.10,0.10,0.15,0.10,0.10,0.10,0.05,0.05,0.05,0.05,0.05,0.10,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10
06/08/2021,0.10,0.10,0.10,0.15,0.10,0.10,0.10,0.10,0.10,0.05,0.05,0.05,0.05,0.05,0.10,2.80,2.30,1.95,1.50,2.25,3.05,2.10,2.10,1.60,2.55,2.45,2.50,2.15,2.50,2.20,0.35,0.30,0.30,0.40,0.35,0.35,0.40,0.30,0.35,0.45,0.95,0.95,1.10,1.00,0.90,0.95,0.95,0.90
07/08/2021,0.95,0.95,0.90,0.95,0.95,0.95,0.90,0.95,0.95,0.35,0.35,0.35,0.30,0.25,0.30,0.30,0.40,0.25,0.35,0.30,0.30,0.30,0.30,0.30,0.30,0.40,0.30,0.30,0.30,0.25,0.30,0.30,0.30,0.40,0.40,0.30,0.30,0.35,0.25,0.65,0.90,1.05,0.95,0.90,0.90,0.95,0.90,0.90
08/08/2021,1.00,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.65,0.30,0.30,0.30,0.30,0.25,0.25,0.25,0.20,0.25,0.25,0.30,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.30,0.25,0.25,0.25,0.80,0.90,0.90,0.90,0.90,0.90,0.90,0.90
09/08/2021,0.90,0.90,0.85,0.90,0.90,0.90,0.90,0.90,0.80,0.35,0.25,0.30,0.25,0.65,0.75,0.70,0.50,0.75,0.95,0.80,0.50,0.80,0.60,0.80,0.85,0.50,1.00,0.75,1.15,0.45,0.60,0.30,0.30,0.30,0.30,0.25,0.25,0.25,0.25,0.25,0.85,0.90,0.90,0.90,0.85,0.90,0.90,0.90
10/08/2021,0.85,0.90,0.90,0.90,0.90,0.90,0.90,0.85,0.90,0.50,0.30,0.30,0.30,0.40,1.10,0.55,0.45,0.55,0.40,0.65,0.40,0.25,0.50,0.55,0.35,0.35,0.35,1.35,0.55,0.50,0.30,0.35,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.35,0.90,0.90,0.90,0.90,0.90,0.85,0.90,0.90
11/08/2021,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.85,0.40,0.30,0.30,0.30,0.30,0.30,0.30,0.35,0.70,0.30,0.30,0.30,0.30,0.30,0.30,0.90,1.70,1.90,1.25,0.30,0.70,0.25,0.25,0.25,0.30,0.25,0.25,0.25,0.25,0.25,0.25,0.85,0.90,0.90,0.90,0.85,0.90,0.90,0.90
12/08/2021,0.85,0.90,0.90,0.85,0.90,0.90,0.90,0.85,0.90,0.30,0.25,0.25,0.25,0.30,0.30,0.25,0.25,0.65,0.65,0.95,0.60,0.25,0.25,0.25,0.15,0.05,0.05,0.05,0.05,0.05,0.05,0.00,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.10,0.65,0.65,0.65,0.65,0.70,0.65,0.65,0.70
13/08/2021,0.65,0.65,0.65,0.70,0.65,0.65,0.65,0.70,0.65,0.20,0.00,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.15,0.65,0.65,0.65,0.70,0.65,0.65,0.65,0.70
14/08/2021,0.65,0.65,0.65,0.70,0.65,0.65,0.65,0.70,0.65,0.15,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.00,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.35,0.65,0.65,0.65,0.65,0.70,0.65,0.65,0.65
15/08/2021,0.65,0.70,0.65,0.65,0.65,0.65,0.65,0.70,0.65,0.25,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.00,0.05,0.05,0.05,0.05,0.05,0.05,0.20,0.65,0.65,0.70,0.65,0.65,0.70,0.65,0.65
16/08/2021,0.65,0.70,0.65,0.65,0.65,0.70,0.65,0.65,0.70,0.30,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.70,0.65,0.65,0.70,0.65,0.65,0.70,0.65
17/08/2021,0.70,0.65,0.65,0.70,0.65,0.65,0.70,0.65,0.70,0.65,0.25,0.05,0.05,0.05,0.10,0.05,0.05,0.05,0.05,0.05,0.10,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.00,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.70,0.65,0.70,0.65,0.70,0.65,0.70,0.65,0.70
18/08/2021,0.65,0.70,0.65,0.70,0.70,0.65,0.70,0.65,0.70,0.55,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.00,0.05,0.05,0.05,0.05,0.05,0.60,0.70,0.65,0.70,0.65,0.70,0.70,0.65,0.70
19/08/2021,0.65,0.70,0.70,0.65,0.70,0.65,0.70,0.65,0.70,0.35,0.05,0.05,0.05,0.00,0.10,0.05,0.05,0.05,0.00,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.50,0.70,0.70,0.65,0.70,0.65,0.70,0.65,0.70
20/08/2021,0.65,0.70,0.70,0.65,0.70,0.65,0.70,0.65,0.70,0.40,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.00,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.45,0.65,0.70,0.70,0.70,0.65,0.70,0.70,0.70,0.65
21/08/2021,0.70,0.70,0.70,0.65,0.70,0.70,0.70,0.65,0.70,0.70,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.00,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.45,0.65,0.70,0.65,0.70,0.65,0.70,0.70,0.65
22/08/2021,0.70,0.65,0.70,0.70,0.65,0.70,0.65,0.70,0.70,0.65,0.20,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.00,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.40,0.70,0.70,0.65,0.70,0.70,0.65,0.70,0.70
23/08/2021,0.65,0.70,0.70,0.65,0.70,0.70,0.65,0.70,0.70,0.65,0.30,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.00,0.05,0.05,0.10,0.05,0.00,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.70,0.65,0.70,0.70,0.65,0.70,0.70,0.70
24/08/2021,0.70,0.65,0.70,0.70,0.70,0.65,0.70,0.70,0.65,0.70,0.10,0.05,0.05,0.05,0.05,0.10,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.45,0.70,0.70,0.65,0.70,0.70,0.65,0.70,0.70
25/08/2021,0.70,0.65,0.70,0.70,0.70,0.70,0.70,0.65,0.70,0.65,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.10,0.10,0.05,0.05,0.05,0.10,0.05,0.05,0.05,0.05,0.05,0.00,0.05,0.05,0.60,0.65,0.70,0.70,0.70,0.65,0.70,0.70,0.70
26/08/2021,0.65,0.70,0.70,0.70,0.65,0.70,0.70,0.65,0.70,0.70,0.05,0.05,0.10,0.05,0.05,0.00,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.55,0.70,0.65,0.70,0.70,0.70,0.70,0.65,0.70
27/08/2021,0.70,0.70,0.65,0.70,0.70,0.70,0.65,0.70,0.70,0.70,0.05,0.05,0.05,0.05,0.10,0.05,0.00,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.60,0.70,0.70,0.70,0.70,0.70,0.65,0.70,0.70
28/08/2021,0.70,0.70,0.70,0.65,0.70,0.70,0.70,0.70,0.70,0.65,0.15,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.00,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.10,0.65,0.70,0.70,0.70,0.70,0.70,0.65,0.70,0.70
29/08/2021,0.70,0.70,0.65,0.70,0.70,0.70,0.70,0.70,0.65,0.70,0.20,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.00,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.25,0.65,0.70,0.70,0.70,0.70,0.65,0.70,0.70,0.70
